toxicity_score,sentiment_polarity,network_density,betweenness_centrality,sybil_probability,escalation_flag
0.3745401188473625,0.3963234280394903,0.18513292883861965,0.519081785136218,0.26170568373590597,0
0.9507143064099162,0.07219273268824078,0.5419009473783581,0.47918187762973097,0.24697879907199982,0
0.7319939418114051,-0.3809447674273445,0.8729458358764083,0.025642065806435688,0.9062545805210367,1
0.5986584841970366,0.6275900394138973,0.7322248864095612,0.34124782762615635,0.2495461998495061,0
0.15601864044243652,0.36946234510775855,0.8065611478614497,0.38019561878585706,0.271949726128631,0
0.15599452033620265,-0.6747661213102174,0.6587833667107174,0.3988227808969005,0.7593982624179637,0
0.05808361216819946,0.8218543689876849,0.6922765645178525,0.5801723692273323,0.44973984245054,0
0.8661761457749352,0.645074485846338,0.8491956515653193,0.5336025467268785,0.7767105569551812,1
0.6011150117432088,0.8995998265838481,0.24966800885918594,0.6079050927934446,0.06536615756438524,0
0.7080725777960455,0.45143901677671994,0.4894249636431405,0.7648832615421283,0.4875711936733843,0
0.020584494295802447,0.22683039187157972,0.22120944181960223,0.8129857387160935,0.03361360018328263,0
0.9699098521619943,-0.16351392741876225,0.987668007996647,0.7181230762264944,0.06265320345535452,0
0.8324426408004217,0.8654569667080265,0.9440593396866133,0.9555236959549347,0.906437453344411,1
0.21233911067827616,0.7321277790008167,0.0394268113685059,0.01823258267636163,0.13924537111759516,0
0.18182496720710062,-0.9095626597876212,0.7055751725156885,0.1957779856835461,0.5324206822752171,0
0.18340450985343382,-0.947266051005496,0.9252483174156658,0.00756287497814212,0.41109560260070654,0
0.3042422429595377,-0.2470732662439008,0.18057534512733353,0.647474714154603,0.3473433262588427,0
0.5247564316322378,0.6211066615636658,0.5679452305526295,0.8980305489499869,0.8998333456872725,0
0.43194501864211576,0.9745522586298889,0.9154882975880418,0.24348229657629927,0.0218233967754895,0
0.2912291401980419,-0.6991662177929436,0.03394597858579884,0.9270345447963066,0.6637896861755891,0
0.6118528947223795,0.18826143070427026,0.6974202672468399,0.06026739028956085,0.9633944342135504,0
0.13949386065204183,-0.23821828673795697,0.29734900737255077,0.9344360268055143,0.5601681834618419,0
0.29214464853521815,0.9398287956292064,0.9243961953765304,0.3516226872396344,0.9368224620330918,0
0.3663618432936917,0.6842378462714174,0.9710582451653678,0.10142082844921652,0.05225787928602377,0
0.45606998421703593,0.6766574094222757,0.9442664891134339,0.48587175918632564,0.4187933190741614,0
0.7851759613930136,-0.06261368041005944,0.47421421665746377,0.25677656772050794,0.26015779096205116,0
0.19967378215835974,-0.17036099532466964,0.8620426509893134,0.28487290196192283,0.7308209649807298,0
0.5142344384136116,-0.45318585613858753,0.8445493985350704,0.3072899649262866,0.9812970904972467,0
0.5924145688620425,-0.8872490066981458,0.31910047324325563,0.8030258978326634,0.2565300624442478,0
0.046450412719997725,0.7294447525101064,0.8289154741506773,0.5391612766752545,0.6541746014740745,0
0.6075448519014384,0.6258020182601551,0.03700763471549262,0.31130769915600365,0.19809763275974013,0
0.17052412368729153,0.9994353465722612,0.596269878482053,0.6103337833109184,0.5653302545716099,0
0.06505159298527952,0.9932736741478108,0.23000883728770305,0.7161506742231936,0.4639324866883362,0
0.9488855372533332,0.11086341120525489,0.12056688577727881,0.27262400073353377,0.9720053296315371,1
0.9656320330745594,0.537974830361021,0.07695320162920916,0.4135491015253515,0.6085272726964666,1
0.8083973481164611,0.889531459764856,0.6962887758781398,0.12188609333694755,0.3495063720868188,0
0.3046137691733707,0.6992947813548229,0.33987496376806614,0.18114934953468032,0.11409578488793337,0
0.09767211400638387,-0.5053037965136047,0.7247667715287615,0.6811178539649828,0.15124682873493456,0
0.6842330265121569,-0.09891172937981296,0.06535634079894237,0.18143834769562694,0.2253169299512351,0
0.4401524937396013,-0.74168116969701,0.31529033783061033,0.5251633836670602,0.250966661340298,0
0.12203823484477883,0.9081020545174447,0.5394912923753372,0.7090462617224327,0.8506160578411378,0
0.4951769101112702,0.2123492689017601,0.7907231648389635,0.10687692309474384,0.5612227882825249,0
0.034388521115218396,-0.5427143889930746,0.3187525029320699,0.5673122196289035,0.5233909113743664,0
0.9093204020787821,0.34340136881171346,0.6258913764370091,0.25656278370136376,0.11476887186921747,0
0.2587799816000169,0.23625648091579166,0.8859777482361871,0.9629268752375798,0.860139693349435,0
0.662522284353982,-0.283674563934319,0.6158631881823046,0.4835456467199247,0.7228143032084837,0
0.31171107608941095,-0.772884815600742,0.23295947475363377,0.8059925497751581,0.06766836190000158,0
0.5200680211778108,0.3431463911855992,0.02440078155653802,0.5502265421562618,0.7078350972297687,0
0.5467102793432796,0.040615401807586604,0.8700988739009299,0.043412532854819164,0.5435382173426461,0
0.18485445552552704,0.5446367834712786,0.021269410850387138,0.6331513755940223,0.08172534574677826,0
0.9695846277645586,0.040327002223986774,0.8747016726841994,0.951403342206657,0.45830064152865646,0
0.7751328233611146,0.7043630006370802,0.528937134027212,0.6016118201463312,0.484696287130047,0
0.9394989415641891,0.10381367754897108,0.9390676985128962,0.8191888594267902,0.16577454016327575,0
0.8948273504276488,0.12187594307077254,0.7987832357736654,0.8842064633484078,0.9456981470002823,1
0.5978999788110851,0.75330720531669,0.9979341105333375,0.22807977194893247,0.8499753714806619,0
0.9218742350231168,-0.19303426757520592,0.35071181545171015,0.21204483990822665,0.6690223373291083,1
0.0884925020519195,-0.7319695430987185,0.7671882889311269,0.6109809888509917,0.4622955610006072,0
0.1959828624191452,-0.942434647373322,0.40193091360924216,0.4110284698067047,0.4117655415845085,0
0.045227288910538066,0.510274511347238,0.47987562030390885,0.8398613028667203,0.6509734671509542,0
0.32533033076326434,0.24061910270692932,0.6275054632183701,0.9000231233980112,0.5454318694069055,0
0.388677289689482,0.40815953619844714,0.8736771141863388,0.3534213793027181,0.062273105881885615,0
